year,Детекторы нейтронов и частиц,Измерительные системы и диагностика,Медицинское оборудование и биотехнологии,Мембранные и фильтрующие технологии,Оптические и лазерные системы,Сверхпроводимость и магнитные системы,Системы детектирования и анализа материалов,Ускорители частиц и системы фокусировки,Ядерные технологии и изотопы
1979,0,1,0,0,0,0,0,0,0
1982,0,0,0,0,1,0,0,1,0
1983,0,0,0,0,1,1,0,1,0
1984,0,0,0,0,1,1,0,0,0
1986,0,0,0,0,1,0,0,1,0
1987,0,2,0,0,1,0,0,0,0
1988,1,0,0,0,2,0,0,1,0
1989,0,3,0,0,1,0,0,0,0
1990,0,2,0,0,1,1,0,1,0
1991,0,4,0,1,3,3,0,0,0
1992,0,1,0,1,1,6,0,0,1
1993,0,1,0,3,2,1,0,2,2
1994,0,1,0,1,2,0,0,1,0
1995,0,1,0,0,1,0,0,0,0
1996,0,1,0,2,1,0,0,0,0
1998,0,1,0,1,0,0,2,0,0
1999,0,1,0,0,1,0,1,1,0
2000,0,2,0,0,1,0,0,0,0
2001,0,4,0,0,1,0,2,1,0
2002,0,2,0,0,3,0,0,0,0
2003,1,1,0,0,4,0,1,0,2
2004,0,6,0,0,2,0,0,0,0
2005,0,1,0,1,1,2,0,0,0
2006,2,1,0,2,0,0,1,0,0
2007,0,2,0,0,2,1,0,0,2
2008,1,2,0,0,3,0,1,2,0
2009,0,4,0,1,5,2,0,0,1
2010,1,3,0,0,0,4,0,0,1
2011,2,0,1,0,1,2,4,3,0
2012,0,4,0,0,1,2,2,0,0
2013,1,6,0,1,1,2,2,1,0
2014,1,5,0,0,1,1,1,0,0
2015,1,3,2,0,1,0,0,1,1
2016,1,1,0,0,1,0,0,3,1
2017,1,2,0,0,2,0,1,1,0
2018,4,2,0,0,0,0,0,1,0
2019,0,2,0,0,3,0,0,0,0
2020,1,4,0,0,3,0,1,0,0
2021,0,9,0,0,4,1,0,0,0
2022,1,5,0,0,1,1,0,0,0
2023,3,5,0,0,0,0,0,0,0
2024,0,3,0,1,0,3,0,1,0
2025,1,0,0,0,0,0,0,0,0
